2025-11-18 11:32:09 | INFO | __main__ | 
======================================================================
2025-11-18 11:32:09 | INFO | __main__ | 🤖 RSI-MA-ATR ML TRADING BOT v2.0.2 (COMPLETE FIX)
2025-11-18 11:32:09 | INFO | __main__ | ======================================================================
2025-11-18 11:32:09 | INFO | __main__ | Mode: LIVE
2025-11-18 11:32:09 | INFO | __main__ | Symbols: ['GOLDm#', 'EURUSDm#', 'GBPUSDm#', 'XAUEURm#', 'AUDUSDm#']
2025-11-18 11:32:09 | INFO | __main__ | ML Enabled: False
2025-11-18 11:32:09 | INFO | __main__ | 
✅ FIXES:
2025-11-18 11:32:09 | INFO | __main__ |   • Fixed lot size calculation (proper MT5 formula)
2025-11-18 11:32:09 | INFO | __main__ |   • Fixed SL/TP ratios (1:5.0 R:R)
2025-11-18 11:32:09 | INFO | __main__ |   • Complete RiskManager with all methods
2025-11-18 11:32:09 | INFO | __main__ |   • Enhanced trade logging
2025-11-18 11:32:09 | INFO | __main__ |   • Detailed risk:reward verification
2025-11-18 11:32:09 | INFO | __main__ | ======================================================================

2025-11-18 11:32:09 | INFO | RiskManager | [36mRisk Manager Initialized:
2025-11-18 11:32:09 | INFO | RiskManager |   Risk per trade: 0.5%
2025-11-18 11:32:09 | INFO | RiskManager |   Max positions per symbol: 2
2025-11-18 11:32:09 | INFO | RiskManager |   Max total positions: 3
2025-11-18 11:32:09 | INFO | RiskManager |   Force min lot: True[0m
2025-11-18 11:32:09 | INFO | RSIMLTradingBot | [32m======================================================================[0m
2025-11-18 11:32:09 | INFO | RSIMLTradingBot | [32mRSI-MA-ATR ML TRADING BOT STARTED[0m
2025-11-18 11:32:09 | INFO | RSIMLTradingBot | [32mMode: LIVE[0m
2025-11-18 11:32:09 | INFO | RSIMLTradingBot | [32m======================================================================[0m
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | [32mMT5 initialized successfully[0m
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | Account: 110109170 | Balance: $100.00
2025-11-18 11:32:17 | INFO | RiskManager | [32m[DAILY RESET] Starting balance: $100.00[0m
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | [33mML DISABLED - Using rule-based signals only[0m
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | Rebuilding trailing stops from existing positions...
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | No existing positions to rebuild
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | Symbols: ['GOLDm#', 'EURUSDm#', 'GBPUSDm#', 'XAUEURm#', 'AUDUSDm#']
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | Magic Number: 234000
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | Risk per trade: 0.5%
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | ML Threshold: 0.60
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | Trading Hours: [(7, 24)]
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | SL/TP: 1 ATR / 5 ATR
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | Risk:Reward Target: 1:5.0
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | Current Hour: 11:00
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | 
======================================================================
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | 🔄 Cycle #1 - 2025-11-18 11:32:17
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | ======================================================================
2025-11-18 11:32:17 | INFO | RSIMLTradingBot | 🔍 Analyzing GOLDm#...
2025-11-18 11:32:17 | DEBUG | RSIMLTradingBot | --- Processing GOLDm# ---
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Technical State - RSI: 59.12, EMA_short: 4083.61108, EMA_long: 4080.60456, Price: 4087.15000, ATR: 4.02714
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Trend strength: 0.75 ATR
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   prev_low <= ema_short: 4086.59000 <= 4083.23857 = False
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   close > ema_short: 4087.15000 > 4083.61108 = True
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   RSI in range: 35 < 59.12 < 70 = True
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | GOLDm#: No rule-based signal
2025-11-18 11:32:18 | INFO | RSIMLTradingBot | 🔍 Analyzing EURUSDm#...
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | --- Processing EURUSDm# ---
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Technical State - RSI: 50.61, EMA_short: 1.15984, EMA_long: 1.15969, Price: 1.15983, ATR: 0.00043
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Trend strength: 0.34 ATR
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Trend too weak (0.34 < 0.5 ATR)
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | EURUSDm#: No rule-based signal
2025-11-18 11:32:18 | INFO | RSIMLTradingBot | 🔍 Analyzing GBPUSDm#...
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | --- Processing GBPUSDm# ---
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Technical State - RSI: 55.02, EMA_short: 1.31449, EMA_long: 1.31474, Price: 1.31475, ATR: 0.00030
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Trend strength: 0.82 ATR
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Downtrend detected. Checking sell conditions...
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   prev_high >= ema_short: 1.31480 >= 1.31446 = True
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   close < ema_short: 1.31475 < 1.31449 = False
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   RSI in range: 30 < 55.02 < 65 = True
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | GBPUSDm#: No rule-based signal
2025-11-18 11:32:18 | INFO | RSIMLTradingBot | 🔍 Analyzing XAUEURm#...
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | --- Processing XAUEURm# ---
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Technical State - RSI: 68.21, EMA_short: 3463.31206, EMA_long: 3463.19742, Price: 3472.78000, ATR: 4.95786
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Trend strength: 0.02 ATR
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Trend too weak (0.02 < 0.5 ATR)
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | XAUEURm#: No rule-based signal
2025-11-18 11:32:18 | INFO | RSIMLTradingBot | 🔍 Analyzing AUDUSDm#...
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | --- Processing AUDUSDm# ---
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Technical State - RSI: 76.65, EMA_short: 0.64873, EMA_long: 0.64841, Price: 0.64954, ATR: 0.00032
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Trend strength: 0.98 ATR
2025-11-18 11:32:18 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   prev_low <= ema_short: 0.64927 <= 0.64864 = False
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   close > ema_short: 0.64954 > 0.64873 = True
2025-11-18 11:32:18 | DEBUG | SignalGenerator |   RSI in range: 35 < 76.65 < 70 = False
2025-11-18 11:32:18 | DEBUG | RSIMLTradingBot | AUDUSDm#: No rule-based signal
2025-11-18 11:32:18 | INFO | RSIMLTradingBot | 🎯 Managing trailing stops...
2025-11-18 11:32:18 | INFO | RSIMLTradingBot | ======================================================================
2025-11-18 11:32:18 | INFO | RSIMLTradingBot | ✅ Cycle #1 complete. Sleeping 10s...
2025-11-18 11:32:18 | INFO | RSIMLTradingBot | ======================================================================

2025-11-18 11:32:28 | INFO | RSIMLTradingBot | 
======================================================================
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | 🔄 Cycle #2 - 2025-11-18 11:32:28
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | ======================================================================
2025-11-18 11:32:28 | INFO | RSIMLTradingBot | 🔍 Analyzing GOLDm#...
2025-11-18 11:32:28 | DEBUG | RSIMLTradingBot | --- Processing GOLDm# ---
