date,start_balance,end_balance,daily_pnl,daily_pnl_pct,trades,wins,losses,win_rate
2025-11-10,250.00,250.00,0.00,0.00,0,0,0,0.0
2025-11-10,250.00,250.00,0.00,0.00,0,0,0,0.0
2025-11-10,250.00,250.00,0.00,0.00,0,0,0,0.0
2025-11-10,250.00,250.00,0.00,0.00,0,0,0,0.0
2025-11-10,250.00,250.00,0.00,0.00,0,0,0,0.0
2025-11-10,250.00,250.00,0.00,0.00,0,0,0,0.0
2025-11-11,250.00,250.00,0.00,0.00,0,0,0,0.0
2025-11-11,250.00,250.00,0.00,0.00,0,0,0,0.0
2025-11-17,100.00,100.00,0.00,0.00,0,0,0,0.0
2025-11-18,100.00,100.00,0.00,0.00,0,0,0,0.0
2025-11-18,100.00,100.00,0.00,0.00,0,0,0,0.0
2025-11-18,100.00,100.00,0.00,0.00,0,0,0,0.0
2025-11-18,100.00,100.00,0.00,0.00,2,0,0,0.0
2025-11-18,100.00,101.02,1.02,1.02,0,0,0,0.0
2025-11-18,101.02,104.92,3.90,3.86,2,0,0,0.0
2025-11-18,104.92,56.20,-48.72,-46.44,3,0,0,0.0
2025-11-19,56.26,56.26,0.00,0.00,0,0,0,0.0
2025-11-19,56.26,51.20,-5.06,-8.99,3,0,0,0.0
2025-11-19,51.20,51.20,0.00,0.00,0,0,0,0.0
